Method,MF_Type,Rules,Val_MSE,Fidelity,FRAD_mean,FRAD_std,FSC,ASG,DTW
FCS_GA,triangular,4,0.16294242441654205,1.55,0.05588770657777786,0.22967804968357086,0.03427165374159813,0.22706563711361916,413.5063304733485
FCS_GA,trapezoidal,16,0.19464832544326782,1.54,0.0021983752958476543,0.04681793972849846,0.0010954694589599967,0.5607184657310804,413.5063304733485
FCS_GA,trapezoidal,8,0.19252729415893555,1.54,0.003712160512804985,0.04713822156190872,0.0013895900920033455,0.5880992594665467,413.5063304733485
FCS_GA,triangular,32,0.12960508465766907,1.59,0.11755845695734024,0.32196614146232605,0.07465437054634094,0.6000877880126885,413.5063304733485
FCS_GA,gaussian,16,0.11629419028759003,3.64,0.4684630334377289,0.08222925662994385,0.7930123805999756,0.6901246755179833,400.80877374252304
FCS_GA,gaussian,8,0.1852508932352066,4.109999999999999,0.011986775323748589,0.033019308000802994,0.11592880636453629,0.4136656239413242,330.33663454279304
FCS_GA,gaussian,4,0.13892440497875214,1.73,0.02445250377058983,0.07563048601150513,0.02024570293724537,0.42463955058809943,413.5062045212835
FCS_GA,gaussian,32,0.13316793739795685,4.83,0.26900172233581543,0.06990943849086761,0.925753116607666,0.536950499239153,455.1394768245518
FCS_GA,triangular,16,0.1920129656791687,1.58,0.005574366543442011,0.07091894000768661,0.0036627124063670635,0.4822222050131296,448.8086739163846
FCS_GA,trapezoidal,4,0.13281486928462982,2.82,0.11129424721002579,0.3144870400428772,0.082637257874012,0.5687776700903808,413.5063304733485
FCS_GA,trapezoidal,32,0.1657741665840149,2.19,0.04746059700846672,0.20288661122322083,0.014465984888374805,0.5244554275889555,413.5063304733485
FCS_GA,triangular,8,0.18289624154567719,1.69,0.029740002006292343,0.16801606118679047,0.012090169824659824,0.5590676948491283,413.5063304733485
DecisionTree,DT,16,0.027607857873976946,33.64,,,,,
